Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
"Redmi 8 (Onyx Black, 64 GB)",4 GB,64 GB,674638,50064,4.4,10999,9999
"Realme 5i (Forest Green, 64 GB)",4 GB,64 GB,243106,16497,4.5,10999,10999
"Realme 5i (Aqua Blue, 64 GB)",4 GB,64 GB,243106,16497,4.5,10999,10999
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB,32 GB,674638,50064,4.4,10999,9999
"POCO X2 (Matrix Purple, 128 GB)",6 GB,64 GB,133486,14732,4.5,19999,18499
"POCO X2 (Atlantis Blue, 64 GB)",6 GB,64 GB,133486,14732,4.5,18999,17499
"Realme 6 (Comet Blue, 64 GB)",6 GB,64 GB,30619,3002,4.4,17999,15999
"POCO X2 (Atlantis Blue, 128 GB)",6 GB,64 GB,133486,14732,4.5,19999,18499
"Realme C11 (Rich Green, 32 GB)",2 GB,128 GB,17476,1209,4.6,8999,7499
"Realme C11 (Rich Grey, 32 GB)",2 GB,32 GB,17476,1209,4.6,8999,7499
"Realme Narzo 10A (So White, 32 GB)",3 GB,32 GB,42968,2926,4.6,9999,8999
"Realme Narzo 10A (So Blue, 64 GB)",4 GB,64 GB,17313,1129,4.6,10999,9999
"Realme Narzo 10A (So White, 64 GB)",4 GB,32 GB,17313,1129,4.6,10999,9999
"Realme Narzo 10A (So Blue, 32 GB)",3 GB,64 GB,42968,2926,4.6,9999,8999
"POCO X2 (Matrix Purple, 64 GB)",6 GB,64 GB,133486,14732,4.5,18999,17499
"Realme 6 (Comet White, 64 GB)",6 GB,64 GB,30619,3002,4.4,17999,15999
"Apple iPhone XR (Black, 64 GB)",,32 GB,11572,975,4.6,52500,46999
"Infinix S5 Pro (Violet, 64 GB)",4 GB,64 GB,12764,1149,4.5,12999,11499
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB,64 GB,27992,2199,4.4,9999,9499
